iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
RUS,Europe,Russia,2020-03-10,20.0,3.0,2.429,,,,0.137,0.021,0.017,,,,,,,,,,,,,,70601.0,0.484,,,,,,tests performed,,,,,,,,,,,,,,26.39,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
RUS,Europe,Russia,2020-03-11,20.0,0.0,2.429,,,,0.137,0.0,0.017,,,,,,,,,,,,,6362.0,76963.0,0.527,0.044,4364.0,0.03,0.0006,1796.6,tests performed,,,,,,,,,,,,,,26.39,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
RUS,Europe,Russia,2020-03-12,28.0,8.0,3.429,,,,0.192,0.055,0.023,,,,,,,,,,,,,,,,,4934.0,0.034,0.0007,1438.9,tests performed,,,,,,,,,,,,,,26.39,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
RUS,Europe,Russia,2020-03-13,45.0,17.0,4.571,,,,0.308,0.117,0.031,,,,,,,,,,,,,,94852.0,0.65,,5595.0,0.038,0.0008,1224.0,tests performed,,,,,,,,,,,,,,26.39,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
RUS,Europe,Russia,2020-03-14,59.0,14.0,6.571,,,,0.404,0.096,0.045,,,,,,,,,,,,,10031.0,104883.0,0.719,0.069,6418.0,0.044,0.001,976.7,tests performed,,,,,,,,,,,,,,30.09,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
RUS,Europe,Russia,2020-03-15,63.0,4.0,6.571,,,,0.432,0.027,0.045,,,,,,,,,,,,,5056.0,109939.0,0.753,0.035,6678.0,0.046,0.001,1016.3,tests performed,,,,,,,,,,,,,,30.09,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
RUS,Europe,Russia,2020-03-16,90.0,27.0,10.429,,,,0.617,0.185,0.071,,,,,,,,,,,,,6122.0,116061.0,0.795,0.042,7024.0,0.048,0.0015,673.5,tests performed,,,,,,,,,,,,,,44.91,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
RUS,Europe,Russia,2020-03-17,114.0,24.0,13.429,,,,0.781,0.164,0.092,,,,,,,,,,,,,6793.0,122854.0,0.842,0.047,7465.0,0.051,0.0018,555.9,tests performed,,,,,,,,,,,,,,55.09,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
RUS,Europe,Russia,2020-03-18,147.0,33.0,18.143,,,,1.007,0.226,0.124,,,,2.07,,,,,,,,,10247.0,133101.0,0.912,0.07,8020.0,0.055,0.0023,442.0,tests performed,,,,,,,,,,,,,,55.09,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
RUS,Europe,Russia,2020-03-19,199.0,52.0,24.429,1.0,1.0,0.143,1.364,0.356,0.167,0.007,0.007,0.001,2.13,,,,,,,,,10418.0,143519.0,0.984,0.071,8230.0,0.056,0.003,336.9,tests performed,,,,,,,,,,,,,,60.65,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
RUS,Europe,Russia,2020-03-20,253.0,54.0,29.714,1.0,0.0,0.143,1.734,0.37,0.204,0.007,0.0,0.001,2.17,,,,,,,,,12497.0,156016.0,1.069,0.086,8738.0,0.06,0.0034,294.1,tests performed,,,,,,,,,,,,,,60.65,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
