iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
SRB,Europe,Serbia,2020-03-20,135.0,32.0,14.286,1.0,1.0,0.143,19.646,4.657,2.079,0.146,0.146,0.021,1.94,,,,,,,,,79.0,585.0,0.085,0.011,49.0,0.007,0.2916,3.4,people tested,,,,,,,,,,,,,,81.48,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-03-21,171.0,36.0,17.857,1.0,0.0,0.143,24.885,5.239,2.599,0.146,0.0,0.021,1.95,,,,,,,,,87.0,672.0,0.098,0.013,58.0,0.008,0.3079,3.2,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-03-22,222.0,51.0,24.857,2.0,1.0,0.286,32.307,7.422,3.617,0.291,0.146,0.042,1.99,,,,,,,,,89.0,761.0,0.111,0.013,68.0,0.01,0.3655,2.7,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-03-23,249.0,27.0,27.714,3.0,1.0,0.429,36.236,3.929,4.033,0.437,0.146,0.062,1.99,,,,,,,,,61.0,822.0,0.12,0.009,72.0,0.01,0.3849,2.6,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-03-24,303.0,54.0,34.0,3.0,0.0,0.429,44.095,7.858,4.948,0.437,0.0,0.062,2.01,,,,,,,,,94.0,916.0,0.133,0.014,77.0,0.011,0.4416,2.3,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-03-25,384.0,81.0,43.0,4.0,1.0,0.571,55.883,11.788,6.258,0.582,0.146,0.083,2.03,,,,,,,,,245.0,1161.0,0.169,0.036,103.0,0.015,0.4175,2.4,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-03-26,384.0,0.0,40.143,1.0,-3.0,0.143,55.883,0.0,5.842,0.146,-0.437,0.021,2.02,,,,,,,,,295.0,1456.0,0.212,0.043,136.0,0.02,0.2952,3.4,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-03-27,457.0,73.0,46.0,1.0,0.0,0.0,66.506,10.624,6.694,0.146,0.0,0.0,2.08,,,,,,,,,259.0,1715.0,0.25,0.038,161.0,0.023,0.2857,3.5,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-03-28,659.0,202.0,69.714,10.0,9.0,1.286,95.903,29.397,10.145,1.455,1.31,0.187,2.15,,,,,,,,,371.0,2086.0,0.304,0.054,202.0,0.029,0.3451,2.9,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-03-29,741.0,82.0,74.143,13.0,3.0,1.571,107.836,11.933,10.79,1.892,0.437,0.229,2.04,,,,,,,,,376.0,2462.0,0.358,0.055,243.0,0.035,0.3051,3.3,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-03-30,785.0,44.0,76.571,16.0,3.0,1.857,114.239,6.403,11.143,2.328,0.437,0.27,1.98,62.0,9.023,540.0,78.585,,,,,622.0,3084.0,0.449,0.091,323.0,0.047,0.2371,4.2,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-03-31,900.0,115.0,85.286,16.0,0.0,1.857,130.975,16.736,12.411,2.328,0.0,0.27,1.97,,,,,,,,,477.0,3561.0,0.518,0.069,378.0,0.055,0.2256,4.4,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,-520.1,-1.81,-1.02,-75.6889241971277
SRB,Europe,Serbia,2020-04-01,1060.0,160.0,96.571,28.0,12.0,3.429,154.259,23.284,14.054,4.075,1.746,0.499,1.97,,,,,,,,,810.0,4371.0,0.636,0.118,459.0,0.067,0.2104,4.8,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-02,1171.0,111.0,112.429,31.0,3.0,4.286,170.413,16.154,16.361,4.511,0.437,0.624,1.97,81.0,11.788,783.0,113.948,,,,,637.0,5008.0,0.729,0.093,507.0,0.074,0.2218,4.5,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-03,1476.0,305.0,145.571,39.0,8.0,5.429,214.799,44.386,21.185,5.676,1.164,0.79,1.95,81.0,11.788,874.0,127.191,,,,,748.0,5756.0,0.838,0.109,577.0,0.084,0.2523,4.0,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-04,1624.0,148.0,137.857,44.0,5.0,4.857,236.337,21.538,20.062,6.403,0.728,0.707,1.86,89.0,12.952,1046.0,152.222,,,,,645.0,6401.0,0.932,0.094,616.0,0.09,0.2238,4.5,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-05,1908.0,284.0,166.714,51.0,7.0,5.429,277.667,41.33,24.262,7.422,1.019,0.79,1.83,98.0,14.262,1082.0,157.461,,,,,959.0,7360.0,1.071,0.14,700.0,0.102,0.2382,4.2,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-06,2200.0,292.0,202.143,58.0,7.0,6.0,320.161,42.494,29.417,8.441,1.019,0.873,1.77,101.0,14.698,1197.0,174.197,,,,,1192.0,8552.0,1.245,0.173,781.0,0.114,0.2588,3.9,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-07,2447.0,247.0,221.0,61.0,3.0,6.429,356.106,35.945,32.162,8.877,0.437,0.936,1.67,108.0,15.717,1349.0,196.317,,,,,1074.0,9626.0,1.401,0.156,866.0,0.126,0.2552,3.9,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-08,2666.0,219.0,229.429,65.0,4.0,5.286,387.977,31.871,33.388,9.459,0.582,0.769,1.59,112.0,16.299,1705.0,248.125,,,,,1135.0,10761.0,1.566,0.165,913.0,0.133,0.2513,4.0,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-09,2867.0,201.0,242.286,66.0,1.0,5.0,417.228,29.251,35.259,9.605,0.146,0.728,1.54,127.0,18.482,1907.0,277.521,,,,,1586.0,12347.0,1.797,0.231,1048.0,0.153,0.2312,4.3,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-10,3105.0,238.0,232.714,71.0,5.0,4.571,451.863,34.636,33.866,10.332,0.728,0.665,1.48,136.0,19.792,2107.0,306.627,,,,,1893.0,14240.0,2.072,0.275,1212.0,0.176,0.192,5.2,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-11,3380.0,275.0,250.857,74.0,3.0,4.286,491.883,40.02,36.507,10.769,0.437,0.624,1.46,145.0,21.102,2436.0,354.505,,,,,2159.0,16399.0,2.387,0.314,1428.0,0.208,0.1757,5.7,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-12,3630.0,250.0,246.0,80.0,6.0,4.143,528.265,36.382,35.8,11.642,0.873,0.603,1.45,146.0,21.247,2684.0,390.596,,,,,1913.0,18312.0,2.665,0.278,1565.0,0.228,0.1572,6.4,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-13,4054.0,424.0,264.857,85.0,5.0,3.857,589.969,61.704,38.544,12.37,0.728,0.561,1.47,138.0,20.083,2890.0,420.575,,,,,2646.0,20958.0,3.05,0.385,1772.0,0.258,0.1495,6.7,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-14,4465.0,411.0,288.286,94.0,9.0,4.714,649.781,59.812,41.954,13.68,1.31,0.686,1.43,131.0,19.064,3006.0,437.456,,,,,2440.0,23398.0,3.405,0.355,1967.0,0.286,0.1466,6.8,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-15,4873.0,408.0,315.286,99.0,5.0,4.857,709.156,59.375,45.883,14.407,0.728,0.707,1.38,128.0,18.628,3245.0,472.237,,,,,2880.0,26278.0,3.824,0.419,2217.0,0.323,0.1422,7.0,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-16,5318.0,445.0,350.143,103.0,4.0,5.286,773.916,64.76,50.955,14.989,0.582,0.769,1.32,120.0,17.463,3511.0,510.948,,,,,3194.0,29472.0,4.289,0.465,2446.0,0.356,0.1431,7.0,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-17,5690.0,372.0,369.286,110.0,7.0,5.571,828.052,54.136,53.741,16.008,1.019,0.811,1.23,122.0,17.754,3765.0,547.912,,,,,3094.0,32566.0,4.739,0.45,2618.0,0.381,0.1411,7.1,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-18,5994.0,304.0,373.429,117.0,7.0,6.143,872.293,44.24,54.344,17.027,1.019,0.894,1.14,126.0,18.336,3853.0,560.718,,,,,3462.0,36028.0,5.243,0.504,2804.0,0.408,0.1332,7.5,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-19,6318.0,324.0,384.0,122.0,5.0,6.0,919.444,47.151,55.883,17.754,0.728,0.873,1.09,,,3900.0,567.558,,,,,2673.0,38701.0,5.632,0.389,2913.0,0.424,0.1318,7.6,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-20,6630.0,312.0,368.0,125.0,3.0,5.714,964.848,45.405,53.554,18.191,0.437,0.832,1.04,108.0,15.717,3703.0,538.889,,,,,3111.0,41812.0,6.085,0.453,2979.0,0.434,0.1235,8.1,people tested,,,,,,,,,,,,,,100.0,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-21,6890.0,260.0,346.429,130.0,5.0,5.143,1002.685,37.837,50.415,18.919,0.728,0.748,0.98,101.0,14.698,3660.0,532.631,,,,,3543.0,45355.0,6.6,0.516,3137.0,0.457,0.1104,9.1,people tested,,,,,,,,,,,,,,96.3,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-22,7144.0,254.0,324.429,134.0,4.0,5.0,1039.649,36.964,47.213,19.501,0.582,0.728,0.94,103.0,14.989,3266.0,475.293,,,,,3281.0,48636.0,7.078,0.477,3194.0,0.465,0.1016,9.8,people tested,,,,,,,,,,,,,,96.3,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-23,7276.0,132.0,279.714,139.0,5.0,5.143,1058.859,19.21,40.706,20.228,0.728,0.748,0.9,96.0,13.971,3477.0,506.0,,,,,2688.0,51324.0,7.469,0.391,3122.0,0.454,0.0896,11.2,people tested,,,,,,,,,,,,,,96.3,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-24,7483.0,207.0,256.143,144.0,5.0,4.857,1088.983,30.124,37.276,20.956,0.728,0.707,0.88,95.0,13.825,3164.0,460.449,,,,,3563.0,54887.0,7.988,0.519,3189.0,0.464,0.0803,12.5,people tested,,,,,,,,,,,,,,96.3,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-25,7779.0,296.0,255.0,151.0,7.0,4.857,1132.059,43.076,37.11,21.975,1.019,0.707,0.88,91.0,13.243,3135.0,456.229,,,,,5051.0,59938.0,8.723,0.735,3416.0,0.497,0.0746,13.4,people tested,,,,,,,,,,,,,,96.3,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-26,8042.0,263.0,246.286,156.0,5.0,4.857,1170.333,38.274,35.841,22.702,0.728,0.707,0.87,85.0,12.37,3044.0,442.986,,,,,4365.0,64303.0,9.358,0.635,3657.0,0.532,0.0673,14.8,people tested,,,,,,,,,,,,,,96.3,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-27,8275.0,233.0,235.0,162.0,6.0,5.286,1204.241,33.908,34.199,23.575,0.873,0.769,0.86,85.0,12.37,2701.0,393.07,,,,,3614.0,67917.0,9.884,0.526,3729.0,0.543,0.063,15.9,people tested,,,,,,,,,,,,,,93.52,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-28,8497.0,222.0,229.571,168.0,6.0,5.429,1236.548,32.307,33.409,24.449,0.873,0.79,0.84,79.0,11.497,2517.0,366.293,,,,,5446.0,73363.0,10.676,0.793,4001.0,0.582,0.0574,17.4,people tested,,,,,,,,,,,,,,93.52,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SRB,Europe,Serbia,2020-04-29,8724.0,227.0,225.714,173.0,5.0,5.571,1269.583,33.035,32.848,25.176,0.728,0.811,0.82,78.0,11.351,2470.0,359.453,,,,,5579.0,78942.0,11.488,0.812,4329.0,0.63,0.0521,19.2,people tested,,,,,,,,,,,,,,93.52,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
